item_x,item_y,optimal_lag,max_ccf,abs_ccf,is_significant
GMBFCMIU,XIIEJNEE,2,0.9949784298309545,0.9949784298309545,True
DJBLNPNC,GMBFCMIU,3,0.9244906774960275,0.9244906774960275,True
DJBLNPNC,XIIEJNEE,5,0.9177933697744306,0.9177933697744306,True
KFQSHBNH,RJCAXSGH,0,0.9076834636381472,0.9076834636381472,True
FTSVTTSR,NAQIHUKZ,1,0.9006157977321048,0.9006157977321048,True
LLHREMKS,RUVXNNVA,1,0.8839166831003044,0.8839166831003044,True
LLHREMKS,NAQIHUKZ,3,0.876045407563505,0.876045407563505,True
GMBFCMIU,IGDVVKUD,2,0.8260693790469452,0.8260693790469452,True
IGDVVKUD,XIIEJNEE,0,0.819554350680001,0.819554350680001,True
FTSVTTSR,JSLXRQOK,3,0.8180529195432054,0.8180529195432054,True
FDXPMYGF,GMBFCMIU,6,0.8127296505806373,0.8127296505806373,True
QRKRBYJL,SDWAYPIK,0,0.7942492492316684,0.7942492492316684,True
GMBFCMIU,QSDCUCLB,3,0.7910516934323075,0.7910516934323075,True
QRKRBYJL,QVLMOEYE,0,0.7907763290753549,0.7907763290753549,True
DJBLNPNC,QSDCUCLB,6,0.781732017082763,0.781732017082763,True
QRKRBYJL,VBYCLTYZ,0,0.7796325310111705,0.7796325310111705,True
DJBLNPNC,IGDVVKUD,5,0.7780195465998426,0.7780195465998426,True
QVLMOEYE,VBYCLTYZ,0,0.7730351151023427,0.7730351151023427,True
DNMPSKTB,XUOIQPFL,0,0.754677854668918,0.754677854668918,True
BSRMSVTC,DJBLNPNC,5,0.7364959693624732,0.7364959693624732,True
QVLMOEYE,UGEQLMXM,2,0.727835513891348,0.727835513891348,True
GMBFCMIU,UGEQLMXM,2,0.726451378942746,0.726451378942746,True
MIRCVAMV,VWMBASNE,4,0.7226726472191335,0.7226726472191335,True
BLANHGYY,GMBFCMIU,5,0.7226341404718067,0.7226341404718067,True
QVLMOEYE,SDWAYPIK,2,0.7186156154060607,0.7186156154060607,True
GYHKIVQT,QRKRBYJL,2,0.7170715197344373,0.7170715197344373,True
GYHKIVQT,SDWAYPIK,2,0.7146842908907096,0.7146842908907096,True
ATLDMDBO,DNMPSKTB,0,0.7132180107576271,0.7132180107576271,True
ATLDMDBO,XUOIQPFL,0,0.7075389714326349,0.7075389714326349,True
UGEQLMXM,XIIEJNEE,0,0.7058456721345479,0.7058456721345479,True
ATLDMDBO,QRKRBYJL,0,0.7043411120739814,0.7043411120739814,True
MIRCVAMV,XIFHSOWQ,5,0.6948577793884725,0.6948577793884725,True
LRVGFDFM,XUOIQPFL,0,0.6928156755276519,0.6928156755276519,True
AXULOHBQ,QVLMOEYE,5,0.6904975767324477,0.6904975767324477,True
BSRMSVTC,SUOYXCHP,0,0.688592933641003,0.688592933641003,True
QVLMOEYE,XUOIQPFL,4,0.6885443579737268,0.6885443579737268,True
ATLDMDBO,BTMOEMEP,0,0.6868118022313746,0.6868118022313746,True
ATLDMDBO,QVLMOEYE,0,0.6849324768115378,0.6849324768115378,True
GYHKIVQT,OGAFEHLU,4,0.6845361223877691,0.6845361223877691,True
LUENUFGA,SAHWCZNH,4,0.6833888156099068,0.6833888156099068,True
BSRMSVTC,FDXPMYGF,2,0.6795695305945922,0.6795695305945922,True
IGDVVKUD,LRVGFDFM,2,0.6740110050427992,0.6740110050427992,True
DNMPSKTB,LRVGFDFM,0,0.6726041940616663,0.6726041940616663,True
AXULOHBQ,QRKRBYJL,6,0.6706037452251475,0.6706037452251475,True
VWMBASNE,XIFHSOWQ,2,0.669977116524608,0.669977116524608,True
ATLDMDBO,LRVGFDFM,0,0.6689684298689911,0.6689684298689911,True
GYHKIVQT,QVLMOEYE,0,0.6659742316086757,0.6659742316086757,True
JPBRUTWP,VBYCLTYZ,0,0.6631271724178288,0.6631271724178288,True
MIRCVAMV,XIPPENFQ,3,0.6598835226589891,0.6598835226589891,True
KFQSHBNH,ZCELVYQU,3,0.659847039423849,0.659847039423849,True
IGDVVKUD,UGEQLMXM,0,0.656371403955701,0.656371403955701,True
FDXPMYGF,QVLMOEYE,6,0.6514653748889809,0.6514653748889809,True
JPBRUTWP,QRKRBYJL,0,0.6490553356820001,0.6490553356820001,True
DEWLVASR,ZKENOUDA,5,0.6434077997318179,0.6434077997318179,True
DJBLNPNC,UGEQLMXM,5,0.6426508227373486,0.6426508227373486,True
ATLDMDBO,VBYCLTYZ,0,0.6403241333253771,0.6403241333253771,True
IGDVVKUD,QSDCUCLB,1,0.639338796470122,0.639338796470122,True
GIKPEWTY,GMBFCMIU,6,0.6385858354324159,0.6385858354324159,True
ANWUJOKX,UGEQLMXM,2,0.6381423576324017,0.6381423576324017,True
ROACSLMG,VBYCLTYZ,0,0.6364897125487655,0.6364897125487655,True
FWUCPMMW,LLHREMKS,6,0.6350338089497293,0.6350338089497293,True
TANNMIMB,XIFHSOWQ,0,0.6340646158124388,0.6340646158124388,True
BTMOEMEP,LRVGFDFM,0,0.6310637568078072,0.6310637568078072,True
JPBRUTWP,SDWAYPIK,0,0.6293072733127208,0.6293072733127208,True
VBYCLTYZ,XIIEJNEE,2,0.6291296702617621,0.6291296702617621,True
OGAFEHLU,SDWAYPIK,0,0.6290824714289389,0.6290824714289389,True
FDXPMYGF,VBYCLTYZ,6,0.6248059013936917,0.6248059013936917,True
BLANHGYY,DJBLNPNC,2,0.6243701616138917,0.6243701616138917,True
GMBFCMIU,VBYCLTYZ,0,0.6227000785443516,0.6227000785443516,True
UGEQLMXM,XUOIQPFL,1,0.6222039365287204,0.6222039365287204,True
GMBFCMIU,LRVGFDFM,4,0.6183223710710906,0.6183223710710906,True
LRVGFDFM,OGAFEHLU,0,0.6176318489464033,0.6176318489464033,True
ZGJXVMNI,ZKENOUDA,0,0.6163749508831344,0.6163749508831344,True
JPBRUTWP,LRVGFDFM,2,0.6163009867196846,0.6163009867196846,True
CCLHWFWF,VWMBASNE,6,0.615544327319139,0.615544327319139,True
GYHKIVQT,JPBRUTWP,2,0.6147953470412657,0.6147953470412657,True
GYHKIVQT,ZGJXVMNI,2,-0.6147783302381632,0.6147783302381632,True
HXYSSRXE,UXSPKBJR,6,0.6147197613841313,0.6147197613841313,True
KEUWZRKO,SAHWCZNH,0,0.6141101496856349,0.6141101496856349,True
SDWAYPIK,UGEQLMXM,3,0.6134429535711007,0.6134429535711007,True
GYHKIVQT,ZKENOUDA,1,-0.6126473234739008,0.6126473234739008,True
LUENUFGA,XIFHSOWQ,0,0.6126111892003251,0.6126111892003251,True
SAHWCZNH,WPQXWHYO,0,-0.6125673724156901,0.6125673724156901,True
AXULOHBQ,RCBZUSIM,4,0.6115007852095663,0.6115007852095663,True
LSOIUSXD,VUAFAIYJ,3,-0.6110315029849819,0.6110315029849819,True
SDWAYPIK,VBYCLTYZ,1,0.6107624517979586,0.6107624517979586,True
PLMZALFA,WBLJNPZQ,4,0.608074715107203,0.608074715107203,True
ANWUJOKX,XUOIQPFL,3,0.6039620601370267,0.6039620601370267,True
GIKPEWTY,JSLXRQOK,3,0.6023662827681525,0.6023662827681525,True
FTSVTTSR,GIKPEWTY,0,0.6021718571947118,0.6021718571947118,True
GMBFCMIU,QVLMOEYE,0,0.6012220582734824,0.6012220582734824,True
HXYSSRXE,IGDVVKUD,5,0.6010344355398055,0.6010344355398055,True
QVLMOEYE,XIIEJNEE,2,0.59873114696912,0.59873114696912,True
APQGTRMF,VBYCLTYZ,1,0.5980048004315417,0.5980048004315417,True
OKMBFVKS,UIFPPCLR,0,0.5977487949024485,0.5977487949024485,True
ATLDMDBO,SDWAYPIK,1,0.5965263686840117,0.5965263686840117,True
GKQIJYDH,LLHREMKS,3,0.596272925574335,0.596272925574335,True
JPBRUTWP,QVLMOEYE,0,0.5957516877435666,0.5957516877435666,True
KFQSHBNH,OKMBFVKS,1,-0.5942512582089449,0.5942512582089449,True
GIKPEWTY,NAQIHUKZ,1,0.5930684228677537,0.5930684228677537,True
DNMPSKTB,HXYSSRXE,0,0.5924729759956122,0.5924729759956122,True
KEUWZRKO,WPQXWHYO,0,-0.5880052411214457,0.5880052411214457,True
ELQGMQWE,ZXERAXWP,0,0.5868927782214238,0.5868927782214238,True
APQGTRMF,WQMVCOEM,0,0.5867993762908548,0.5867993762908548,True
TANNMIMB,VMAQSTJE,3,0.5863875397028596,0.5863875397028596,True
GYHKIVQT,UIFPPCLR,2,0.5848272742671845,0.5848272742671845,True
AANGBULD,ZKENOUDA,1,0.5846674050145934,0.5846674050145934,True
OXKURKXR,SDWAYPIK,3,0.583340914135869,0.583340914135869,True
