date,AANGBULD,AHMDUILJ,ANWUJOKX,APQGTRMF,ATLDMDBO,AXULOHBQ,BEZYMBBT,BJALXPFS,BLANHGYY,BSRMSVTC,BTMOEMEP,BUZIIBYG,CCLHWFWF,DBWLZWNK,DDEXPPXU,DEWLVASR,DJBLNPNC,DNMPSKTB,DUCMGGNW,ELQGMQWE,EVBVXETX,FCYBOAXC,FDXPMYGF,FITUEHWN,FQCLOEXA,FRHNWLNI,FTSVTTSR,FWUCPMMW,GIKPEWTY,GKQIJYDH,GMBFCMIU,GYHKIVQT,HCDTGMST,HXYSSRXE,IGDVVKUD,JBVHSUWY,JERHKLYW,JPBRUTWP,JSLXRQOK,KAGJCHMR,KEUWZRKO,KFQSHBNH,KJNSOAHR,LLHREMKS,LPHPPJUG,LRVGFDFM,LSOIUSXD,LTOYKIML,LUENUFGA,MBSBZBXA,MIRCVAMV,NAQIHUKZ,NZKBIBNU,OGAFEHLU,OJIFIHMZ,OKMBFVKS,OXKURKXR,PLMZALFA,PYZMVUWD,QJQJSWFU,QKXNTIIB,QRKRBYJL,QSDCUCLB,QVLMOEYE,RAWUKQMJ,RCBZUSIM,RJCAXSGH,RJGPVEXX,ROACSLMG,RUVXNNVA,SAAYMURU,SAHWCZNH,SDWAYPIK,SNHYOVBM,STZDBITS,SUOYXCHP,TANNMIMB,TGOELCAG,UGEQLMXM,UIFPPCLR,UQYUIVVR,UXSPKBJR,VBYCLTYZ,VMAQSTJE,VUAFAIYJ,VWMBASNE,WBLJNPZQ,WHPUAOID,WPQXWHYO,WQMVCOEM,XIFHSOWQ,XIIEJNEE,XIPPENFQ,XMKRPGLB,XUOIQPFL,YSYHGLQK,ZCELVYQU,ZGJXVMNI,ZKENOUDA,ZXERAXWP
2022-01-01,-47418.89048897491,167872.9944472553,,541445.973244268,129876959.36757185,93271.56640578994,6020479.505937697,247654.9552691402,,144989.57253212229,33947763.41816205,18549253.33588108,25742838.3284668,831701.5036721847,20741.448708675853,135053.79124265278,,9806563.299019184,1457535.8028894544,334443.9878104931,5674086.033588705,112158778.91842923,12258.101991423086,50109.27279908944,1812440.3595309842,1923539.6341515908,130628.59280366491,3833.363400874999,,14526652.29593046,,45580839.07245028,,7809553.991369881,52310.39253784863,514223.8155833992,2800.639162849096,7957458.203449666,,9554.545259282131,-135589.8717634617,,8391922.259460095,55701.145970345824,1076863.046020914,45208503.194381066,135825.2603717026,306842.48537429154,557161.6260120579,3448842.209863094,-31577.319253875812,2177.193407639192,322513.70137642836,4730909.793011809,2736775.472854042,2609380.507531307,233480.06122545182,,,162668.65638057404,1603663.354119862,13678445.006779594,,4268939.482124018,4535075.55982756,20185.844007887856,,558873.3457718979,2496330.0310363746,,31605.546115094356,-110318.38401923147,20062060.450706422,541133.8213105629,23518399.729780305,76931.54039780669,,,273756.44147936074,362163.2460178196,3081203.4183470164,1700338.4815399463,1051750.8775359958,118538.65507943543,279424.36942945386,573585.8717140709,557721.6685821534,36036.38136226316,11188325.876336757,278460.83720571565,-174538.22673649614,,128801.99843946393,1127716.1584196042,7336954.419882522,,250381.7766532984,1506584.7708923148,29012.768385098614,9018.21295970733
2022-02-01,-35998.40819731789,162742.983136206,,524717.7791771826,124846826.96049653,99858.63271609972,5950790.212195206,242079.88196505667,41714.94386351712,211617.4353692981,32372217.260232702,18403096.053436927,25739256.387246083,805185.2729376701,20315.97893402545,134663.68849305614,,9655546.476822354,1466671.7539961056,330914.79076633346,5549659.190955865,111669694.90147491,12153.214562133908,51224.94176919474,1762522.618318398,1869025.5615369133,131343.53547216076,3722.9221629008016,,14471159.15212409,,45674947.41664924,40769.220554821506,7835571.776306442,,518022.75811210624,3153.5392791557047,7855868.623565492,23663.506342741468,,-52933.423654659535,,8048988.181897847,54909.03958889679,1070612.947777689,42603002.39700436,137464.50859337853,309553.7098870959,1025321.8346384658,3481472.7755999607,-17383.598808691462,2618.864970870352,314355.9506591115,4566741.353754388,2756495.278793726,2600521.4453245285,225959.30062125303,,13115.65621131899,164141.89724255202,1648276.8383280428,13073388.992281716,276.5702160493824,4114569.2671588496,4573805.213223347,20087.938575985496,,548793.5467922412,2460958.480440413,,30830.803571772336,140204.699673042,19370252.374001715,544899.3178015386,23584281.404939342,75946.31391343202,,,265486.3681784293,353217.3619317077,3110265.176087167,1601293.032638007,1003541.838632693,123135.86624313983,288722.5762789993,570982.3972853314,545329.4815871805,38591.47505805521,10991665.36367818,270399.26113850786,-139573.47909899818,470998.1543780249,127809.62655314938,1122279.9560948529,7111580.730948877,901.6447839051933,244820.89337387183,1515181.3422071813,32080.615695820397,9118.987042625731
2022-03-01,-24603.95272419604,157705.1317098981,,507651.55436766107,119785976.5409105,106355.63474784535,5880854.610003162,236744.37561022656,,276753.1088037345,30806141.312415592,18256581.569495454,25727778.08265323,778637.6601578653,19888.17231445665,134313.99813184232,4948.315831184073,9505359.663296683,1474699.7505306154,327406.7240649561,5424688.981624914,111193096.72959873,,52294.49060794071,1712946.229237413,1815342.3301680284,132065.55375282804,3605.5323523273996,,14414897.155131616,,45754625.33060146,47577.6420703664,7856997.750248031,48494.77950147472,521852.4371981203,3509.8981970401405,7753391.205674687,22721.51928976551,10068.176827778485,29971.63155308588,,7715980.914658292,54157.00448455512,1064689.1031586844,40023369.10294375,139027.24906748507,312283.7261008499,1506462.9844584852,3512536.8213882227,,3058.2864818762428,305975.41855505167,4401320.358240191,2774573.578014136,2591699.282969015,218410.3916595462,,14438.562367905492,165649.00387558978,1692470.8904104256,12464284.747648548,276.57021604938245,3958121.3373581697,4609698.244041495,19958.76190472114,,538443.5962411512,2425654.0831232965,,30077.428534396844,391312.5304919685,18685250.56810316,548265.2384958178,23654712.562290076,75006.47056414305,,,257317.4126751947,344388.08257012046,3137449.877565026,1503004.8952176592,955357.6335174856,127717.324225828,297828.6667601829,569687.7512912233,532921.561030746,41090.93299554737,10788394.928482551,262059.66855540796,-103374.62349146687,428123.24942276895,126943.66851178519,1117230.9753976988,6889392.388619018,1032.8280156022502,239085.23248335646,1523032.3778743208,35060.921177749995,9211.037383106808
2022-04-01,,152758.84967659236,43991.350115740686,490267.4575249164,114698484.57465442,112742.69826044484,5810760.341199924,231626.58547493516,,340563.8523718404,29250112.52257124,18109748.804544542,25709898.78480116,752201.021786591,19458.003570474964,133992.26751728577,4662.622015652604,9355735.837506032,1481662.1338878034,323933.9043821469,5299233.513780992,110729110.64578126,12035.846262787376,53300.25548817757,1663868.3628239536,1762284.0811727126,132753.25100716096,,,14361442.82855676,,45819224.49441171,54213.738961605566,7873423.931206185,44721.07652951845,525769.355348485,3867.840074559748,7650101.938013664,21729.909179699906,,112921.22650091205,,7391811.853407686,53439.78649935776,1059133.262591983,37470643.03945512,140518.50178925792,315001.7779006811,2000310.1904983886,3542024.6687102793,,3495.4796648271213,297375.2623744436,4234608.612331842,2791699.8165208087,2582819.165425853,210854.62506867817,,15722.169773515412,167186.37466790434,1736317.7962547778,11852299.620421078,,3799865.97694039,4642471.382421386,19796.93940207803,,527853.3154880326,2390487.973968621,,29339.908451142972,642708.863617871,18006453.60548832,551124.464660386,23730995.853205316,74106.33013235586,,,249276.83703846682,335686.54796662915,3161891.423912567,1405451.3759717508,907308.7867329831,132254.33793520695,306714.280859228,569781.7846324719,520513.65889910614,43513.41392249897,10578755.666757971,253431.3381444418,-66038.97361072057,,126244.24008420773,1112709.1278147157,6670166.756573108,1164.5972192392671,233117.95630084723,1530396.343370637,37929.8538384359,9294.091852134095
2022-05-01,-13218.173371911123,147907.2526938545,43991.350115740715,472613.03732309665,109593816.63085423,118998.24819572986,5740712.491556855,226674.37501095055,39843.50649570855,403065.94403296657,27705559.001777988,17962960.61622765,25686721.126939237,725956.391671975,19025.67474365449,133691.00468383566,,9206559.65026317,1487728.167023764,320518.8109351702,5173435.811557281,110276751.51674742,11903.392292135171,54247.82262827545,1615327.8980846428,1709724.394202323,133373.0369668301,3481.0036623377714,,14313075.952885877,453.781065136317,45869021.21506314,60678.150408525114,7884703.27413599,40990.59812014529,529833.0193025317,4223.703653346691,7545901.421657233,20692.862648949445,10607.196295024323,195770.09776982188,,7074832.516153966,52753.03934653084,1053960.8287970296,34949639.52907729,141935.72809132072,317663.5096651989,2505589.796782967,3570302.7349758246,-3289.8891910428565,3930.431618362167,288569.71772951976,4067168.5221486767,2808128.4834797946,2573859.302143225,203308.83768116354,,16965.92340869034,168761.04621723943,1779838.7304727344,11238896.139899325,,3640340.5596596547,4672011.236013132,19603.768283434514,,517043.2724784714,2355569.3326017614,,28613.745669740136,894034.3948135586,17333488.64015798,553555.6597657399,23812901.804809555,73236.00578201454,,446790.4564948211,241346.6750192746,327104.1637215061,3183217.759955075,1308696.60126077,859519.43420009,136767.9069701482,315351.2160473753,571247.5896689829,508136.7458158447,45856.998791604085,10363465.813509993,244523.6537489884,-27736.348881996088,385923.6854828593,125748.42397414013,1108719.1778720235,6453795.482636947,1296.935001967743,226959.49446567474,1537560.453491725,40687.02184588057,9367.957923786254
2022-06-01,-1823.6953811490412,143155.04395897573,43991.350115740715,454741.4079106041,104480204.17103586,125091.44572654109,5670981.74445349,221829.12210738956,37948.9606953722,464178.806888465,26173395.942715075,17816761.912236284,25658571.308747925,699862.255210063,18592.031957503008,133418.45916211006,,9057327.25263392,1492896.6275881468,317203.2557885053,5047594.16172808,109833837.65430182,11754.133112997944,55150.18871075394,1567334.7232946223,1657515.0678310285,133911.6585385726,3349.9164748261514,,14268924.304772886,,45904166.384300135,,7890952.208106408,,534013.3610594881,4575.014692005821,7440698.554425207,19619.057992403294,11174.377299584898,278600.7859763627,,6763766.191911881,52089.10514822928,1049129.6144955175,32463079.54900309,143268.8959508213,320219.98836916784,3020120.2485773684,3597847.6377481436,,4363.077350425333,279589.9440043512,3899340.596815795,2823929.733740911,2564870.9470865806,195785.76651722274,,18172.052985947816,170377.3036354302,1822854.4454905477,10625566.176368803,,3480119.3224909455,4698516.802958716,19384.299850047613,,506040.93395187403,2320998.5656093843,,27896.38576893709,1144976.7816357096,16666980.162602836,555746.6152902934,23899163.245440636,72379.55024410879,,436151.4365028927,233498.9989274086,318623.5754007532,3201632.2853052216,1212860.0290329407,812089.4634450361,141276.97867367114,323715.5666292955,573958.2548981283,495821.59143160324,48125.257269408445,10143208.892864943,235371.84757849408,11313.815875780334,344376.8367084359,125480.04877326003,1105258.661862004,6240329.251037513,1429.3950448614873,220641.2375015111,1544738.728174577,43339.002276708496,9433.55599260782
2022-07-01,,138515.72727628378,43991.35011574073,436686.12805566343,99364368.62056331,130990.10612144586,5601850.456293913,217051.9545729854,36034.87861824567,523737.67508184374,24655699.785280816,17671407.75283754,25625228.5017726,673787.5960283813,18154.88120996697,133179.16193621646,,8907458.564965121,1497122.056288057,314013.2801987985,4922025.3441687515,109397485.96213256,11586.710616475302,56014.79079909193,1519921.630053707,1605615.9849214784,134375.86192812843,,,14225007.834382117,,45923892.10348579,66972.22806066074,7892396.826104974,37304.57185062033,538274.6235260471,4923.186961632603,7334685.359630051,18517.302917964906,11769.33783808256,361477.10236775025,,6459008.2258219635,51442.15813348903,1044619.3033868612,30010623.42227966,144530.02375709976,322647.2866263828,3542977.7528591203,3624865.299842981,10631.38909404085,4793.293003728603,270456.92877043836,3731283.6243943125,2838819.5636597537,2555900.1257489226,188281.92864913755,,19340.291469743126,172041.38048272821,1864859.0123172253,10013062.19600733,,3319516.395914022,4722298.30690106,19143.36887646973,,494865.47270783625,2286786.7467125542,78.04114422582307,27193.31206855084,1395238.8647222144,16008181.908412363,557923.0302788902,23987920.81263724,71504.65769746233,,425573.715683076,225707.12049496442,310212.83235831966,3218021.1789143775,1118022.4161734858,765042.1994058567,145780.28420805407,331777.1435720894,577662.8725824859,483590.287345606,50328.13603283683,9918752.21983611,226011.26529059414,50906.38622783571,,125447.6224851981,1102312.5110067355,6029974.634007094,1561.3320629407613,214172.62042546284,1552101.213288922,45898.64482299299,9491.592141401798
2022-08-01,,134014.1751082036,,418445.6768808233,94253835.44145383,136676.41254521016,5533359.0333071975,212347.12407142806,34105.86020513656,581440.1048943289,23156013.670460828,17527265.938000865,25586450.046685025,647598.2950368096,17710.990980067167,132968.29273283767,4379.115169428485,8756685.513774907,1500398.9346187431,310947.8254350459,4796860.0557208005,108965032.74813175,11400.516760626217,56848.261563059306,1473055.5120974157,1554196.9106895751,134790.72467759234,3213.995021273138,,14175707.335408455,,45927785.61108114,,7889241.701392209,33666.05236685541,542614.4520011216,5270.767066838844,7227944.755485963,17397.612137024018,12393.484049918434,444301.73615962616,,6161873.194251592,50809.98869174557,1040411.4468296355,27591673.15343016,145729.8143333513,324960.368565971,4074146.3460715525,3651727.451132276,24344.896018115556,5220.891281962986,261179.85529411322,,2852086.757659105,2547028.044330999,180781.3807817306,,,173751.9381052185,1905450.9837694878,9400772.87767495,,3158646.6614405573,4743756.38036609,18881.79732671205,,483553.1830464116,2252859.186127839,,26513.60893254799,1644580.5480071532,15357502.547088554,560141.0127559135,24080805.779166985,70577.87140615557,730.8101851851845,,217954.82547021648,301884.06622342084,3233712.9729460543,1024286.0316206174,718347.6691588806,150266.65418486242,339526.3056178348,582013.5164847584,471446.3184089769,52479.32121473974,9691225.743693903,216477.79225921686,90988.78154830272,,125620.1775269906,1099661.0464857088,5823053.142418532,1692.6520098893875,,1559717.8793717462,48386.54892980111,9543.441922247745
2022-09-01,,129665.88428777376,,399976.6448512526,89148174.62949276,142173.42294837098,5465346.949366574,207741.0521921698,32166.738341093944,636811.2661330554,21676722.182775855,17384613.74485047,25540753.81842703,621158.9288688458,17264.05182048819,132797.81315736138,4099.372834358712,8604920.679738576,1502593.557913233,307993.0838795412,4672135.995942012,108535511.35912506,,57659.57096367655,1426616.6053213624,1503603.6068669541,135232.41619350857,3075.634885596588,,14114058.227502652,,45913368.764229454,73096.06345333155,7881767.894268404,30072.64033181787,547108.8839667573,5620.97395940521,7120309.56056959,16259.217070063227,13046.414837437067,526958.9644743378,,5874482.858539372,50195.03431390732,1036489.1634837448,25204775.705227055,146867.36381073316,327225.5190168935,4613593.140583016,3678459.818074602,37846.24928016805,,251769.96195420847,3563221.01829472,2862906.733698415,2538382.124091016,173258.1463564106,,,175486.30183517255,1944567.5272556965,8787036.854115795,,2997237.0631790212,4763388.05878805,18597.32470134291,,472136.1292058725,2219063.029104181,,25874.136731512193,1892658.2596586102,14715229.090865487,562544.7255481853,24178552.132745575,69612.76774096805,,415069.6403816177,210226.1541314141,293648.44150976645,3250289.900766668,931738.1403789972,671900.7101726163,154727.49184867003,347002.8528342343,586636.6491195878,459351.662905021,54601.86882980809,9461803.961668095,206800.82797229436,131660.8086259289,303445.1414335977,125914.82630103485,1097130.7345812293,5619709.148047107,,207577.98439197996,1567428.4121281316,50835.957376776976,9590.181055336783
2022-10-01,,125480.22725241086,43991.350115740745,381190.9413559586,84035910.26856002,147560.45250663336,5397449.879328482,203321.40960574185,30217.146217337475,689314.3164694877,20216515.459597096,17243228.940811176,25484380.540242523,594257.711745448,16820.424561833795,,3823.7195439764346,8452552.024329357,1503357.943982628,305076.34332705167,4547757.118396576,108110818.17894828,11197.371327199595,58464.31733060392,1380295.535092644,1454515.749193941,135874.47399481828,2935.143103881247,,14029922.889630727,,45879360.146128155,,7870172.123058909,26519.20901538659,551801.4857575876,5980.35992567703,7011349.690489615,15093.084503144972,13725.114616916282,609545.5730688924,,5600282.803250911,49604.27370915629,1032816.9401629426,22844583.033415854,147933.89043545153,329558.4987814647,5163384.82362541,3704442.2796326135,,,242232.21147624703,3395569.0398235796,2869699.682193694,2530131.1836513397,165668.4413627336,,20468.83057542438,177191.30160196288,1982425.9058749706,8168394.65959385,,2834448.3319071764,4781974.648254762,18285.503079109494,,460616.6009336603,2185165.1264078077,,25297.717576551815,2139427.312112914,14081890.333530156,565399.8686122646,24276605.648366548,68663.0622948052,,404637.17040430487,202488.98209251178,285491.7535447037,3270514.5295905927,840545.6667788951,625447.0301538429,159188.68767527296,354346.68857015256,591249.1896251787,447217.7066956818,56734.060720803565,9231259.739284366,196996.75711082335,173180.54050852597,,126182.40532733646,1094548.343641013,5419984.931827556,1823.2764379782375,200917.61364635106,1574837.0475386353,53300.685868252614,9633.0469325528
