item_cause,item_effect,best_lag,p_value,is_causal,fdr_rejected,fdr_threshold
RJCAXSGH,KFQSHBNH,3.0,1.4216925966942607e-19,True,True,0.012865497076023392
RUVXNNVA,KFQSHBNH,4.0,1.988210375039996e-16,True,True,0.012865497076023392
RUVXNNVA,RJCAXSGH,3.0,3.2859335067472278e-15,True,True,0.012865497076023392
RUVXNNVA,LLHREMKS,1.0,1.3974735817481699e-14,True,True,0.012865497076023392
XIIEJNEE,LLHREMKS,6.0,1.9801386040929674e-14,True,True,0.012865497076023392
LLHREMKS,KFQSHBNH,3.0,1.9160509544669673e-13,True,True,0.012865497076023392
IGDVVKUD,DJBLNPNC,4.0,1.2267040633312614e-11,True,True,0.012865497076023392
XIIEJNEE,DJBLNPNC,5.0,2.4243702027932574e-11,True,True,0.012865497076023392
DJBLNPNC,FDXPMYGF,4.0,3.5843412632415756e-11,True,True,0.012865497076023392
QSDCUCLB,XIIEJNEE,1.0,1.2624068693100813e-10,True,True,0.012865497076023392
XIIEJNEE,KFQSHBNH,6.0,1.8970335510099628e-10,True,True,0.012865497076023392
XIIEJNEE,RJCAXSGH,6.0,1.8970335510099628e-10,True,True,0.012865497076023392
XIIEJNEE,RUVXNNVA,6.0,2.3128780992280434e-09,True,True,0.012865497076023392
JSLXRQOK,RJCAXSGH,5.0,3.691431351704512e-09,True,True,0.012865497076023392
XIIEJNEE,IGDVVKUD,4.0,4.024801289794843e-09,True,True,0.012865497076023392
JSLXRQOK,RUVXNNVA,4.0,1.5954825283674064e-08,True,True,0.012865497076023392
JSLXRQOK,KFQSHBNH,6.0,4.037676470084168e-08,True,True,0.012865497076023392
FDXPMYGF,BSRMSVTC,2.0,9.63150141064594e-08,True,True,0.012865497076023392
XIIEJNEE,VBYCLTYZ,3.0,1.4249141947724095e-07,True,True,0.012865497076023392
VBYCLTYZ,IGDVVKUD,3.0,3.2755612230639756e-07,True,True,0.012865497076023392
JSLXRQOK,LLHREMKS,5.0,4.7499554398124975e-07,True,True,0.012865497076023392
QRKRBYJL,IGDVVKUD,3.0,1.751598529866895e-06,True,True,0.012865497076023392
VBYCLTYZ,FDXPMYGF,6.0,4.216567360877586e-06,True,True,0.012865497076023392
XIIEJNEE,QRKRBYJL,5.0,4.250212858644035e-06,True,True,0.012865497076023392
QSDCUCLB,IGDVVKUD,1.0,5.3028680840880155e-06,True,True,0.012865497076023392
DJBLNPNC,BSRMSVTC,5.0,5.765992304803718e-06,True,True,0.012865497076023392
XUOIQPFL,XIIEJNEE,2.0,7.293616435298603e-06,True,True,0.012865497076023392
VBYCLTYZ,DJBLNPNC,3.0,7.851966039331542e-06,True,True,0.012865497076023392
DJBLNPNC,IGDVVKUD,4.0,1.1783235152768359e-05,True,True,0.012865497076023392
ATLDMDBO,DJBLNPNC,6.0,1.2868214019088133e-05,True,True,0.012865497076023392
IGDVVKUD,QRKRBYJL,5.0,2.5935801221982364e-05,True,True,0.012865497076023392
ATLDMDBO,QRKRBYJL,1.0,2.7283804651606518e-05,True,True,0.012865497076023392
IGDVVKUD,DNMPSKTB,5.0,5.732390747028347e-05,True,True,0.012865497076023392
UGEQLMXM,DJBLNPNC,6.0,5.910018939318542e-05,True,True,0.012865497076023392
