item,train_samples,val_samples,train_rmse,train_mae,val_rmse,val_mae,n_features
AANGBULD,21,6,965.3244890576557,788.5217768401216,89468.95752390054,66880.01761928559,23
AHMDUILJ,24,7,215.36091574154162,143.20585141650113,16976.062589699082,13374.382697473,23
APQGTRMF,24,7,3413.4605301331435,1782.0056160896631,109747.69677708675,100114.77851017816,23
ATLDMDBO,24,7,276219.316990462,139516.65037830998,8033835.460681619,6806935.690028106,29
AXULOHBQ,24,7,806.8070842031278,399.9933526154282,21004.669926468952,15377.606501302695,23
BEZYMBBT,24,7,4058.243615383195,2304.321545751222,668973.2665135538,623822.8298404459,23
BJALXPFS,24,7,1562.2808666779738,745.7397076223889,36472.72536420917,33346.24826818526,23
BLANHGYY,20,5,320.8131289853118,173.36363965651282,28280.23666841627,17408.065703252963,26
BSRMSVTC,24,7,44608.68779269916,22470.02925956542,330411.4354863488,276774.5528684064,23
BTMOEMEP,24,7,41341.07038337423,20339.854677348514,2245328.3549518115,1829207.6526889743,26
BUZIIBYG,24,7,5869.529793176969,4256.417747148856,2085014.5163959241,1812569.1365272608,23
CCLHWFWF,24,7,195808.01514713565,105698.14074467208,7968150.1939678965,5749300.616724811,23
DBWLZWNK,24,7,7665.737615707108,4076.4646583561175,204711.56421687937,188857.6372998283,23
DDEXPPXU,24,7,20.558612048758622,16.944318804913525,4099.018420823595,3202.8980767682356,23
DEWLVASR,24,7,2009.8650130828614,974.6499516279201,136898.42646834778,118536.06551589447,26
DJBLNPNC,20,5,21.95195010649116,11.121770203864196,3155.7442399779807,1823.6302615005657,32
DNMPSKTB,24,7,12302.829753528167,5768.375341574351,712817.6629642722,518896.3100737791,32
DUCMGGNW,24,7,4544.492171779493,2523.5496385324077,457969.64068081067,403011.27168167254,23
ELQGMQWE,24,7,3594.6582437288184,1684.0643502646283,247845.72929629384,214942.0929006185,26
EVBVXETX,24,7,2472.3377552844895,2133.3069015699634,330699.5499928408,243160.0609911092,23
FCYBOAXC,24,7,26215.031197769797,20630.919879453257,3904179.451174973,3512763.705280338,23
FDXPMYGF,24,7,257.0949521190892,128.46976232934665,4899.7205496523875,3901.965108725976,26
FITUEHWN,24,7,1473.6371244369802,806.922082994552,33006.33643876803,30792.957152808947,23
FQCLOEXA,24,7,8066.903002600234,3863.332491374555,330556.528946169,289595.713383979,26
FRHNWLNI,24,7,5979.662039258353,3387.9850574648153,142879.4204257253,128779.13962199206,23
FTSVTTSR,24,7,11636.287469429884,5843.516545696628,310402.5428292425,262534.8881726294,23
FWUCPMMW,20,5,366.14355680789566,230.8707826263525,9339.77082760402,7714.871440518962,26
GKQIJYDH,24,7,330959.60334204504,150451.12391157183,13266377.567717291,11707378.729187852,23
GYHKIVQT,24,7,145812.17804375463,58022.5546968795,10076939.87976536,8689699.955495397,32
HCDTGMST,24,7,7622.371510397227,4113.825362097151,58871.799162490526,49336.32148417063,23
HXYSSRXE,24,7,20302.977684590962,9515.86925330855,997456.9793145905,842131.945642945,32
IGDVVKUD,24,6,65.94881590572311,36.46583845907609,2911.3248107499685,1925.2404672780867,32
JBVHSUWY,24,7,6110.585381827993,3094.405298447105,216745.00892991808,174759.4459824354,26
JERHKLYW,24,7,211.82568134515367,98.94352802890164,5291.918774354007,3977.3109976320225,23
JPBRUTWP,24,7,41397.32186457841,20543.420773868722,444761.3976554753,358372.66598880757,32
JSLXRQOK,24,7,1920.7855860906025,970.6005599522072,33340.31463861485,28460.682149139448,29
KAGJCHMR,23,6,126.74753900380074,95.8376948891042,19843.07723050157,11755.623942199987,26
KEUWZRKO,24,7,16378.020597551416,8142.232045598791,108403.39238623215,92647.9244629731,23
